Player_Name,Score,Correct_Presses,Incorrect_Presses,Correct_Score,incorrect_Score
deva,12,"[(1176.5063509461097, 725.0), (1045.5050358314172, 834.9231551964771), (960.0, 850.0), (835.0, 816.5063509461097), (768.4888892202555, 760.6969024216348), (799.3030975783652, 408.4888892202555), (1003.4120444167324, 353.79806174694795), (1120.6969024216348, 408.4888892202555), (1206.201938253052, 643.4120444167326), (1176.5063509461097, 725.0), (768.4888892202555, 760.6969024216348), (743.4936490538903, 475.00000000000006), (916.5879555832674, 353.798061746948), (1085.0, 383.49364905389035), (1085.0, 816.5063509461097), (768.4888892202555, 760.6969024216348), (713.798061746948, 643.4120444167327)]","[(1176.5063509461097, 725.0), (1120.6969024216348, 791.5111107797445), (916.5879555832674, 846.201938253052), (725.0768448035229, 685.5050358314172), (713.798061746948, 643.4120444167327), (713.798061746948, 556.5879555832674), (834.9999999999999, 383.4936490538904), (1176.5063509461097, 474.9999999999999), (1206.201938253052, 556.5879555832674), (1045.5050358314172, 834.9231551964771), (1003.4120444167326, 846.201938253052), (713.798061746948, 643.4120444167327), (799.3030975783652, 408.4888892202555), (1120.6969024216348, 408.4888892202555), (1194.923155196477, 514.4949641685827), (1206.201938253052, 643.4120444167326), (1176.5063509461097, 725.0), (1003.4120444167326, 846.201938253052)]",17,5
jiro,1,"[(165.07684480352293, 385.5050358314172)]","[(165.0768448035229, 214.49496416858284), (165.0768448035229, 214.49496416858284), (208.4888892202555, 139.3030975783652), (208.4888892202555, 139.3030975783652), (239.30309757836514, 108.48888922025552)]",1,0
vghv,0,[],[],0,0
