Player Name,Score,Correct Presses,Incorrect Presses
Devansh,55,"[(1085.0, 816.5063509461097), (835.0, 816.5063509461097), (743.4936490538903, 725.0), (725.0768448035229, 514.4949641685828), (834.9999999999999, 383.4936490538904), (960.0, 350.0), (1085.0, 383.49364905389035), (1206.201938253052, 556.5879555832674), (1120.6969024216348, 791.5111107797445), (960.0, 850.0), (713.798061746948, 643.4120444167327), (725.0768448035229, 514.4949641685828), (874.4949641685827, 365.07684480352293), (1151.5111107797445, 439.3030975783651), (1045.5050358314172, 834.9231551964771), (768.4888892202555, 760.6969024216348), (1003.4120444167324, 353.79806174694795), (1085.0, 383.49364905389035), (1194.923155196477, 514.4949641685827), (1045.5050358314172, 834.9231551964771), (835.0, 816.5063509461097), (960.0, 350.0), (1120.6969024216348, 408.4888892202555), (1210.0, 600.0), (713.798061746948, 556.5879555832674), (1151.5111107797445, 439.3030975783651), (725.0768448035229, 685.5050358314172), (768.4888892202555, 439.30309757836517), (1120.6969024216348, 408.4888892202555), (1194.923155196477, 514.4949641685827), (799.3030975783652, 791.5111107797445), (725.0768448035229, 514.4949641685828), (916.5879555832674, 353.798061746948), (1176.5063509461097, 725.0), (725.0768448035229, 685.5050358314172), (799.3030975783652, 408.4888892202555), (1151.5111107797445, 439.3030975783651), (1151.5111107797445, 760.6969024216348), (725.0768448035229, 514.4949641685828), (1120.6969024216348, 408.4888892202555), (1206.201938253052, 643.4120444167326), (960.0, 850.0), (725.0768448035229, 514.4949641685828), (1176.5063509461097, 474.9999999999999), (916.5879555832674, 846.201938253052), (710.0, 600.0), (710.0, 600.0), (1206.201938253052, 556.5879555832674), (768.4888892202555, 760.6969024216348), (916.5879555832674, 353.798061746948), (1120.6969024216348, 408.4888892202555), (768.4888892202555, 439.30309757836517), (1206.201938253052, 556.5879555832674), (1151.5111107797445, 760.6969024216348), (799.3030975783652, 791.5111107797445), (743.4936490538903, 475.00000000000006)]","[(799.3030975783652, 408.4888892202555), (1085.0, 816.5063509461097)]"
bablu,77,"[(799.3030975783652, 791.5111107797445), (713.798061746948, 643.4120444167327), (725.0768448035229, 514.4949641685828), (916.5879555832674, 353.798061746948), (1085.0, 383.49364905389035), (1151.5111107797445, 439.3030975783651), (1176.5063509461097, 725.0), (874.4949641685828, 834.9231551964771), (713.798061746948, 643.4120444167327), (743.4936490538903, 475.00000000000006), (916.5879555832674, 353.798061746948), (1085.0, 383.49364905389035), (1151.5111107797445, 439.3030975783651), (1206.201938253052, 643.4120444167326), (1003.4120444167326, 846.201938253052), (874.4949641685828, 834.9231551964771), (768.4888892202555, 760.6969024216348), (713.798061746948, 643.4120444167327), (713.798061746948, 556.5879555832674), (799.3030975783652, 408.4888892202555), (1206.201938253052, 556.5879555832674), (1176.5063509461097, 725.0), (874.4949641685828, 834.9231551964771), (713.798061746948, 643.4120444167327), (960.0, 350.0), (1151.5111107797445, 439.3030975783651), (1120.6969024216348, 791.5111107797445), (916.5879555832674, 846.201938253052), (768.4888892202555, 760.6969024216348), (768.4888892202555, 439.30309757836517), (916.5879555832674, 353.798061746948), (1085.0, 383.49364905389035), (1194.9231551964772, 685.5050358314172), (725.0768448035229, 685.5050358314172), (834.9999999999999, 383.4936490538904), (1003.4120444167324, 353.79806174694795), (1176.5063509461097, 474.9999999999999), (1206.201938253052, 643.4120444167326), (916.5879555832674, 846.201938253052), (743.4936490538903, 725.0), (710.0, 600.0), (799.3030975783652, 408.4888892202555), (1120.6969024216348, 408.4888892202555), (1194.9231551964772, 685.5050358314172), (1120.6969024216348, 791.5111107797445), (1003.4120444167326, 846.201938253052), (835.0, 816.5063509461097), (713.798061746948, 643.4120444167327), (1085.0, 816.5063509461097), (713.798061746948, 556.5879555832674), (834.9999999999999, 383.4936490538904), (1045.505035831417, 365.0768448035229), (1206.201938253052, 643.4120444167326), (1151.5111107797445, 760.6969024216348), (1045.5050358314172, 834.9231551964771), (874.4949641685828, 834.9231551964771), (1120.6969024216348, 408.4888892202555), (1194.923155196477, 514.4949641685827), (1194.9231551964772, 685.5050358314172), (1085.0, 816.5063509461097), (874.4949641685828, 834.9231551964771), (799.3030975783652, 408.4888892202555), (1176.5063509461097, 474.9999999999999), (713.798061746948, 643.4120444167327), (768.4888892202555, 439.30309757836517), (960.0, 350.0), (1151.5111107797445, 439.3030975783651), (1210.0, 600.0), (1176.5063509461097, 725.0), (1045.5050358314172, 834.9231551964771), (710.0, 600.0), (1120.6969024216348, 791.5111107797445), (960.0, 850.0), (799.3030975783652, 791.5111107797445), (743.4936490538903, 725.0), (874.4949641685827, 365.07684480352293), (1085.0, 383.49364905389035), (1194.923155196477, 514.4949641685827), (1176.5063509461097, 725.0), (835.0, 816.5063509461097), (960.0, 350.0)]","[(1194.923155196477, 514.4949641685827), (768.4888892202555, 439.30309757836517), (1194.923155196477, 514.4949641685827), (1151.5111107797445, 760.6969024216348), (713.798061746948, 556.5879555832674), (960.0, 850.0), (834.9999999999999, 383.4936490538904), (799.3030975783652, 791.5111107797445), (1176.5063509461097, 725.0), (725.0768448035229, 685.5050358314172), (799.3030975783652, 408.4888892202555)]"
samaksh,75,"[(916.5879555832674, 846.201938253052), (799.3030975783652, 791.5111107797445), (725.0768448035229, 685.5050358314172), (725.0768448035229, 514.4949641685828), (960.0, 350.0), (1045.5050358314172, 834.9231551964771), (874.4949641685828, 834.9231551964771), (743.4936490538903, 725.0), (725.0768448035229, 514.4949641685828), (799.3030975783652, 408.4888892202555), (960.0, 350.0), (1085.0, 383.49364905389035), (1210.0, 600.0), (1003.4120444167326, 846.201938253052), (713.798061746948, 643.4120444167327), (743.4936490538903, 475.00000000000006), (1085.0, 383.49364905389035), (1194.923155196477, 514.4949641685827), (1120.6969024216348, 791.5111107797445), (960.0, 850.0), (768.4888892202555, 760.6969024216348), (713.798061746948, 643.4120444167327), (960.0, 350.0), (1176.5063509461097, 474.9999999999999), (1206.201938253052, 643.4120444167326), (916.5879555832674, 846.201938253052), (725.0768448035229, 685.5050358314172), (1003.4120444167324, 353.79806174694795), (1151.5111107797445, 439.3030975783651), (1210.0, 600.0), (1045.5050358314172, 834.9231551964771), (768.4888892202555, 760.6969024216348), (743.4936490538903, 475.00000000000006), (1003.4120444167324, 353.79806174694795), (1194.9231551964772, 685.5050358314172), (1085.0, 816.5063509461097), (960.0, 850.0), (768.4888892202555, 760.6969024216348), (743.4936490538903, 475.00000000000006), (1206.201938253052, 556.5879555832674), (1120.6969024216348, 791.5111107797445), (725.0768448035229, 514.4949641685828), (874.4949641685827, 365.07684480352293), (1176.5063509461097, 474.9999999999999), (1120.6969024216348, 791.5111107797445), (960.0, 850.0), (713.798061746948, 643.4120444167327), (1151.5111107797445, 439.3030975783651), (1206.201938253052, 643.4120444167326), (1045.5050358314172, 834.9231551964771), (725.0768448035229, 514.4949641685828), (1120.6969024216348, 408.4888892202555), (1176.5063509461097, 474.9999999999999), (1194.9231551964772, 685.5050358314172), (799.3030975783652, 791.5111107797445), (743.4936490538903, 475.00000000000006), (960.0, 350.0), (1120.6969024216348, 408.4888892202555), (1194.9231551964772, 685.5050358314172), (1045.5050358314172, 834.9231551964771), (835.0, 816.5063509461097), (725.0768448035229, 685.5050358314172), (916.5879555832674, 353.798061746948), (1194.923155196477, 514.4949641685827), (1003.4120444167326, 846.201938253052), (768.4888892202555, 439.30309757836517), (1045.505035831417, 365.0768448035229), (1194.9231551964772, 685.5050358314172), (1045.5050358314172, 834.9231551964771), (743.4936490538903, 475.00000000000006), (1003.4120444167324, 353.79806174694795), (1194.9231551964772, 685.5050358314172), (916.5879555832674, 846.201938253052), (713.798061746948, 643.4120444167327), (916.5879555832674, 353.798061746948)]","[(1120.6969024216348, 408.4888892202555), (1194.9231551964772, 685.5050358314172), (1045.5050358314172, 834.9231551964771)]"
efa,0,[],[]
